model,n_paper,n_recomputed,dropped,ret_paper,ret_recomputed,vol_paper,vol_recomputed,sharpe_paper,sharpe_recomputed,sharpe_diff_pct,mdd_paper,mdd_recomputed,var_paper,var_recomputed,cvar_paper,cvar_recomputed
claude sonnet,24,24,[],0.1475,0.1475,0.1714,0.1714,0.9397,0.9397,0.0,-0.1713,-0.1713,-0.0143,-0.0143,-0.0252,-0.0252
deepseek-v3,23,23,[],0.1322,0.1322,0.1806,0.1806,0.8309,0.8309,0.0,-0.166,-0.166,-0.0147,-0.0147,-0.026,-0.026
deepseek-r1,20,20,[],0.1348,0.1348,0.1857,0.1857,0.8312,0.8312,0.0,-0.1843,-0.1843,-0.0165,-0.0165,-0.0264,-0.0264
gpt-4o-mini,25,25,[],-0.0571,-0.0571,0.0974,0.0974,0.1765,0.1765,0.02,-0.0413,-0.0413,-0.0103,-0.0103,-0.012,-0.012
gpt-4o,25,25,[],0.1041,0.1041,0.172,0.172,0.7156,0.7156,0.0,-0.1564,-0.1564,-0.0152,-0.0152,-0.0249,-0.0249
gpt-5-mini,22,22,[],0.1513,0.1513,0.1715,0.1715,0.9774,0.9774,0.0,-0.1582,-0.1582,-0.0154,-0.0154,-0.0251,-0.0251
gpt-5-nano,20,20,[],0.1136,0.1136,0.17,0.17,0.7765,0.7765,0.0,-0.1683,-0.1683,-0.0148,-0.0148,-0.0256,-0.0256
gpt-5,22,22,[],0.0723,0.0723,0.1674,0.1674,0.5641,0.5641,0.0,-0.1566,-0.1566,-0.0136,-0.0136,-0.0244,-0.0244
grok 4,20,20,[],0.1601,0.1601,0.1708,0.1708,1.0113,1.0113,0.0,-0.169,-0.169,-0.0153,-0.0153,-0.0255,-0.0255
o3,22,22,[],0.0847,0.0847,0.1603,0.1603,0.6596,0.6596,0.01,-0.1551,-0.1551,-0.014,-0.014,-0.0231,-0.0231
o4-mini,21,21,[],0.0562,0.0562,0.1715,0.1715,0.4591,0.4591,0.0,-0.1659,-0.1659,-0.0145,-0.0145,-0.0253,-0.0253
llama4 maverick,20,20,[],0.0348,0.0348,0.1681,0.1681,0.376,0.376,0.0,-0.1663,-0.1663,-0.0146,-0.0146,-0.0243,-0.0243
